ID,Data,Produto,Categoria,Quantidade,Preço
62,2023-01-27,Mouse Logitech,Periféricos,2.0,87.49
63,2023-06-20,Webcam Full HD,Periféricos,2.0,
64,2023-08-15,HD Externo 1TB,Armazenamento,1.0,333.56
65,2023-12-20,Pen Drive 64GB,Armazenamento,2.0,57.04
66,2023-03-17,Fones Bluetooth,Áudio,2.0,459.59
67,2023-01-21,Pen Drive 64GB,Armazenamento,1.0,61.68
68,2023-07-01,Webcam Full HD,Periféricos,4.0,381.44
69,2023-05-02,Pen Drive 64GB,Armazenamento,5.0,26.36
70,2023-06-20,Webcam Full HD,Periféricos,3.0,366.02
71,2023-05-08,Smartphone Samsung Galaxy,Celulares,1.0,1888.58
72,2023-01-20,Pen Drive 64GB,Armazenamento,2.0,44.23
73,2023-04-27,Smartphone Samsung Galaxy,Celulares,2.0,1790.87
74,2023-02-05,Mousepad Gamer,Periféricos,3.0,992.738001711976
75,2023-12-14,Cadeira Gamer,Móveis,1.0,996.08
76,2023-05-14,"Monitor Samsung 24""",Monitores,4.0,1217.6
77,2023-06-26,Caixa de Som JBL,Áudio,3.0,790.54
78,2023-03-01,Fones Bluetooth,Áudio,2.0,117.75
79,2023-08-12,Notebook Dell Inspiron,Computadores,4.0,3228.44
80,2023-02-05,Mousepad Gamer,Periféricos,4.0,157.96
81,2023-06-03,Carregador USB-C,Acessórios,2.0,50.12
82,2023-06-01,HD Externo 1TB,Armazenamento,3.0,582.11
83,2023-12-13,Webcam Full HD,Periféricos,3.0,225.24
84,2023-10-08,Roteador Wi-Fi,Rede,1.0,300.46
85,2023-10-24,Cabo HDMI,Acessórios,2.0,30.48
86,2023-04-20,Carregador USB-C,Acessórios,3.0,38.48
87,2023-02-13,iPhone 14,Celulares,3.0,4670.38
88,2023-05-01,Cabo HDMI,Acessórios,1.0,20.16
89,2023-01-24,Smartphone Samsung Galaxy,Celulares,1.0,2019.75
90,2023-11-19,SSD 512GB,Armazenamento,2.0,597.75
91,2023-05-05,Teclado Mecânico,Periféricos,1.0,667.05
92,2023-04-23,"Monitor Samsung 24""",Monitores,4.0,1190.18
93,2023-03-04,Carregador USB-C,Acessórios,5.0,77.5
94,2023-08-15,Cabo HDMI,Acessórios,3.0,29.94
95,2023-10-08,Carregador USB-C,Acessórios,2.0,52.5
96,2023-05-07,Pen Drive 64GB,Armazenamento,3.0,51.65
97,2023-05-03,iPhone 14,Celulares,2.0,4468.99
98,2023-06-21,iPhone 14,Celulares,1.0,4301.66
99,2023-07-16,Cabo HDMI,Acessórios,1.0,29.52
100,2023-06-19,HD Externo 1TB,Armazenamento,1.0,549.87
101,2023-07-19,Pen Drive 64GB,Armazenamento,3.0,26.07
102,2023-10-22,Fones Bluetooth,Áudio,2.0,219.45
103,2023-07-19,Pen Drive 64GB,Armazenamento,4.0,51.85
104,2023-05-20,Fones Bluetooth,Áudio,2.0,367.55
105,2023-07-27,Caixa de Som JBL,Áudio,4.0,744.16
106,2023-10-31,SSD 512GB,Armazenamento,3.0,571.45
107,2023-08-25,"Monitor Samsung 24""",Monitores,2.0,948.16
108,2023-06-17,Tablet iPad,Tablets,5.0,2504.54
109,2023-02-11,Carregador USB-C,Acessórios,1.0,80.0
110,2023-06-29,Smartphone Samsung Galaxy,Celulares,3.0,1272.46
111,2023-01-16,Mousepad Gamer,Periféricos,1.0,143.2
112,2023-05-03,Teclado Mecânico,Periféricos,3.0,768.65
113,2023-08-27,Caixa de Som JBL,Áudio,1.0,563.54
114,2023-02-28,Webcam Full HD,Periféricos,2.0,177.02
115,2023-01-14,Mousepad Gamer,Periféricos,2.0,109.5
116,2023-04-12,Mouse Logitech,Periféricos,3.0,121.28
117,2023-12-23,Webcam Full HD,Periféricos,4.0,349.06
118,2023-10-17,Webcam Full HD,Periféricos,2.0,315.38
119,2023-02-05,Carregador USB-C,Acessórios,2.0,71.12
120,2023-02-24,Fones Bluetooth,Áudio,2.0,382.92
121,2023-08-11,"Monitor Samsung 24""",Monitores,3.0,989.06
122,2023-10-03,Webcam Full HD,Periféricos,,298.12
123,2023-06-15,Pen Drive 64GB,Armazenamento,5.0,
124,2023-08-26,SSD 512GB,Armazenamento,2.0,2783.283719926602
125,2023-06-16,"Monitor Samsung 24""",Monitores,2.0,1038.24
126,2023-11-02,Caixa de Som JBL,Áudio,1.0,509.98
127,2023-04-08,Mouse Logitech,Periféricos,2.0,174.38
128,2023-05-04,Cabo HDMI,Acessórios,2.0,30.69
129,2023-01-09,Mouse Logitech,Periféricos,3.0,121.36
130,2023-12-06,SSD 512GB,Armazenamento,3.0,537.5
131,2023-10-09,Tablet iPad,Tablets,2.0,2613.25
132,2023-04-29,Teclado Mecânico,Periféricos,1.0,645.73
133,2023-12-20,"Monitor Samsung 24""",Monitores,2.0,993.55
134,2023-10-29,Cadeira Gamer,Móveis,2.0,2466.87
135,2023-04-10,iPhone 14,Celulares,2.0,4028.3
136,2023-10-01,Teclado Mecânico,Periféricos,1.0,532.02
137,2023-12-24,Mousepad Gamer,Periféricos,2.0,65.39
138,2023-01-07,SSD 512GB,Armazenamento,2.0,536.28
139,2023-01-27,Smartphone Samsung Galaxy,Celulares,4.0,1921.27
140,2023-02-07,SSD 512GB,Armazenamento,1.0,459.68
141,2023-10-16,Mousepad Gamer,Periféricos,1.0,67.77
142,2023-08-02,Cabo HDMI,Acessórios,1.0,42.15
143,2023-07-14,Carregador USB-C,Acessórios,3.0,79.5
144,2023-06-06,SSD 512GB,Armazenamento,3.0,439.69
145,2023-04-17,Cabo HDMI,Acessórios,1.0,20.5
146,2023-03-30,HD Externo 1TB,Armazenamento,2.0,435.15
147,2023-11-01,Carregador USB-C,Acessórios,2.0,65.35
148,2023-12-26,Pen Drive 64GB,Armazenamento,,75.82
149,2023-11-17,Cabo HDMI,Acessórios,4.0,34.06
150,2023-11-28,Teclado Mecânico,Periféricos,1.0,1441.695917401186
151,2023-03-26,Webcam Full HD,Periféricos,3.0,380.3
152,2023-08-13,Teclado Mecânico,Periféricos,3.0,441.51
153,2023-05-20,Carregador USB-C,Acessórios,1.0,59.9
154,2023-08-10,Caixa de Som JBL,Áudio,1.0,254.8
155,2023-12-12,Pen Drive 64GB,Armazenamento,,79.98
156,2023-12-11,Roteador Wi-Fi,Rede,1.0,314.68
157,2023-11-30,Carregador USB-C,Acessórios,3.0,51.79
158,2023-09-09,Mousepad Gamer,Periféricos,2.0,100.0
159,2023-12-10,Mouse Logitech,Periféricos,2.0,197.92
160,2023-05-28,Cabo HDMI,Acessórios,3.0,16.28
161,2023-02-15,iPhone 14,Celulares,2.0,5729.82
162,2023-01-01,Cabo HDMI,Acessórios,2.0,16.9
163,2023-09-23,Tablet iPad,Tablets,3.0,2884.08
164,2023-01-27,Smartphone Samsung Galaxy,Celulares,2.0,1988.61
165,2023-12-24,Carregador USB-C,Acessórios,3.0,60.44
166,2023-05-03,Caixa de Som JBL,Áudio,1.0,531.35
167,2023-02-17,Smartphone Samsung Galaxy,Celulares,4.0,2365.88
168,2023-03-20,Carregador USB-C,Acessórios,3.0,65.27
169,2023-08-01,Roteador Wi-Fi,Rede,4.0,284.26
170,2023-11-03,Carregador USB-C,Acessórios,5.0,68.63
171,2023-08-01,Tablet iPad,Tablets,2.0,3641.1
172,2023-05-25,Caixa de Som JBL,Áudio,5.0,719.16
173,2023-08-17,HD Externo 1TB,Armazenamento,3.0,528.86
174,2023-07-13,Carregador USB-C,Acessórios,1.0,79.04
175,2023-05-03,SSD 512GB,Armazenamento,2.0,417.46
176,2023-08-31,Caixa de Som JBL,Áudio,4.0,497.2
177,2023-01-19,Teclado Mecânico,Periféricos,4.0,724.51
178,2023-08-14,Mouse Logitech,Periféricos,4.0,149.7
179,2023-12-02,Mousepad Gamer,Periféricos,2.0,100.78
180,2023-12-21,Fones Bluetooth,Áudio,2.0,440.94
181,2023-10-01,Fones Bluetooth,Áudio,3.0,454.98
182,2023-09-07,Pen Drive 64GB,Armazenamento,1.0,37.91
183,2023-12-17,Mousepad Gamer,Periféricos,5.0,196.75
184,2023-11-21,Caixa de Som JBL,Áudio,1.0,616.4
185,2023-01-15,Mouse Logitech,Periféricos,2.0,140.94
186,2023-08-09,Teclado Mecânico,Periféricos,3.0,609.08
187,2023-04-03,"Monitor Samsung 24""",Monitores,2.0,1233.8
188,2023-05-04,Carregador USB-C,Acessórios,1.0,53.06
189,2023-05-11,Carregador USB-C,Acessórios,2.0,75.06
190,2023-12-13,HD Externo 1TB,Armazenamento,2.0,596.3
191,2023-06-03,Cabo HDMI,Acessórios,2.0,30.99
192,2023-06-04,Smartphone Samsung Galaxy,Celulares,2.0,1391.98
193,2023-07-15,SSD 512GB,Armazenamento,3.0,518.09
194,2023-12-04,Fones Bluetooth,Áudio,3.0,411.32
195,2023-01-26,Pen Drive 64GB,Armazenamento,2.0,67.67
196,2023-04-28,Cabo HDMI,Acessórios,3.0,21.65
197,2023-05-09,Cabo HDMI,Acessórios,3.0,38.83
198,2023-03-12,Cabo HDMI,Acessórios,5.0,42.6
199,2023-01-18,SSD 512GB,Armazenamento,1.0,763.85
200,2023-06-17,Webcam Full HD,Periféricos,1.0,346.63
201,2023-07-07,Carregador USB-C,Acessórios,5.0,75.7
202,2023-09-04,Mousepad Gamer,Periféricos,2.0,170.63
203,2023-08-28,Mousepad Gamer,Periféricos,1.0,179.02
204,2023-12-12,Cadeira Gamer,Móveis,5.0,953.51
205,2023-07-22,Notebook Dell Inspiron,Computadores,2.0,3237.17
206,2023-12-11,Smartphone Samsung Galaxy,Celulares,3.0,2892.53
207,2023-02-25,Cabo HDMI,Acessórios,3.0,45.95
208,2023-10-15,iPhone 14,Celulares,3.0,4126.43
209,2023-08-26,Pen Drive 64GB,Armazenamento,2.0,31.42
210,2023-01-24,Mousepad Gamer,Periféricos,2.0,67.42
211,2023-05-01,Pen Drive 64GB,Armazenamento,2.0,45.41
212,2023-12-23,Mousepad Gamer,Periféricos,3.0,158.99
213,2023-08-01,Cabo HDMI,Acessórios,5.0,16.15
214,2023-07-09,Smartphone Samsung Galaxy,Celulares,1.0,2739.81
215,2023-02-20,Cadeira Gamer,Móveis,3.0,
216,2023-07-23,iPhone 14,Celulares,5.0,4183.35
217,2023-04-19,Cabo HDMI,Acessórios,,16.77
218,2023-06-20,Smartphone Samsung Galaxy,Celulares,3.0,1569.37
219,2023-10-11,Smartphone Samsung Galaxy,Celulares,1.0,1791.41
220,2023-03-17,Webcam Full HD,Periféricos,2.0,3041.1557680224946
221,2023-03-16,Mesa de Escritório,Móveis,1.0,731.91
222,2023-01-14,Teclado Mecânico,Periféricos,1.0,553.31
223,2023-01-09,"Monitor Samsung 24""",Monitores,3.0,1094.67
224,2023-02-28,Webcam Full HD,Periféricos,2.0,278.31
225,2023-02-25,Carregador USB-C,Acessórios,3.0,32.17
226,2023-12-04,Carregador USB-C,Acessórios,1.0,33.04
227,2023-09-03,Pen Drive 64GB,Armazenamento,1.0,51.96
228,2023-08-16,Mouse Logitech,Periféricos,3.0,105.22
229,2023-03-06,iPhone 14,Celulares,3.0,5424.31
230,2023-07-15,Mesa de Escritório,Móveis,2.0,1206.66
231,2023-08-09,Mouse Logitech,Periféricos,3.0,190.66
232,2023-10-10,Caixa de Som JBL,Áudio,2.0,732.85
233,2023-07-31,Tablet iPad,Tablets,2.0,3459.23
234,2023-06-10,Fones Bluetooth,Áudio,2.0,481.44
235,2023-12-18,Mousepad Gamer,Periféricos,1.0,
236,2023-02-19,Webcam Full HD,Periféricos,1.0,289.09
237,2023-10-28,Mousepad Gamer,Periféricos,3.0,68.33
238,2023-07-01,Pen Drive 64GB,Armazenamento,4.0,78.26
239,2023-11-04,iPhone 14,Celulares,3.0,4425.48
240,2023-12-03,Carregador USB-C,Acessórios,5.0,35.74
241,2023-05-23,SSD 512GB,Armazenamento,4.0,643.6
242,2023-12-03,Roteador Wi-Fi,Rede,1.0,245.64
243,2023-06-08,Mousepad Gamer,Periféricos,1.0,180.48
244,2023-10-17,Cabo HDMI,Acessórios,3.0,37.16
245,2023-01-16,Mouse Logitech,Periféricos,2.0,151.37
246,2023-06-24,Teclado Mecânico,Periféricos,2.0,666.1
247,2023-10-18,Cabo HDMI,Acessórios,4.0,38.59
248,2023-05-20,Carregador USB-C,Acessórios,3.0,52.1
249,2023-05-20,Smartphone Samsung Galaxy,Celulares,2.0,1973.84
250,2023-05-26,Cabo HDMI,Acessórios,3.0,38.35
251,2023-01-24,Smartphone Samsung Galaxy,Celulares,4.0,1742.55
252,2023-04-19,Webcam Full HD,Periféricos,2.0,232.03
253,2023-01-04,Carregador USB-C,Acessórios,1.0,49.01
254,2023-12-27,Smartphone Samsung Galaxy,Celulares,3.0,2651.16
255,2023-02-06,Fones Bluetooth,Áudio,2.0,107.5
256,2023-02-09,Pen Drive 64GB,,3.0,47.24
257,2023-11-24,Fones Bluetooth,Áudio,1.0,486.48
258,2023-03-29,Impressora HP,Impressoras,3.0,1135.82
259,2023-02-15,Fones Bluetooth,Áudio,2.0,335.55
260,2023-09-26,Mouse Logitech,Periféricos,4.0,136.62
261,2023-03-28,Mouse Logitech,Periféricos,3.0,166.69
262,2023-06-28,Tablet iPad,Tablets,4.0,2472.54
263,2023-03-16,Smartphone Samsung Galaxy,Celulares,1.0,2568.39
264,2023-12-02,Mouse Logitech,,5.0,208.26
265,2023-10-24,Carregador USB-C,Acessórios,5.0,73.21
266,2023-11-18,iPhone 14,Celulares,2.0,4884.42
267,2023-06-05,Impressora HP,Impressoras,2.0,805.87
268,2023-06-08,Carregador USB-C,Acessórios,2.0,71.58
269,2023-02-09,Cabo HDMI,Acessórios,5.0,31.19
270,2023-10-11,Mousepad Gamer,Periféricos,1.0,117.46
271,2023-10-20,Cabo HDMI,Acessórios,2.0,32.55
272,2023-02-01,Carregador USB-C,Acessórios,4.0,55.23
273,2023-03-30,Notebook Dell Inspiron,Computadores,2.0,3548.14
274,2023-11-09,Teclado Mecânico,Periféricos,2.0,432.45
275,2023-06-23,Cabo HDMI,,3.0,37.66
276,2023-02-03,Tablet iPad,Tablets,2.0,2568.29
277,2023-12-03,Mousepad Gamer,Periféricos,1.0,100.0
278,2023-10-26,Cabo HDMI,Acessórios,5.0,19.51
279,2023-12-29,Mousepad Gamer,Periféricos,2.0,146.52
280,2023-06-18,Roteador Wi-Fi,Rede,3.0,499.01
281,2023-09-27,Mouse Logitech,Periféricos,3.0,141.51
282,2023-07-05,iPhone 14,Celulares,5.0,4384.01
283,2023-03-12,Teclado Mecânico,Periféricos,1.0,504.61
284,2023-10-04,Roteador Wi-Fi,Rede,5.0,456.74
285,2023-11-13,Teclado Mecânico,Periféricos,1.0,308.51
286,2023-12-21,Webcam Full HD,Periféricos,5.0,160.92
287,2023-07-06,Cabo HDMI,Acessórios,2.0,36.37
288,2023-08-18,Smartphone Samsung Galaxy,Celulares,2.0,2827.15
289,2023-04-10,Tablet iPad,Tablets,9.0,3538.88
290,2023-07-15,Carregador USB-C,Acessórios,1.0,70.84
291,2023-11-06,Teclado Mecânico,Periféricos,3.0,488.35
292,2023-07-10,HD Externo 1TB,Armazenamento,3.0,555.35
293,2023-05-26,Mouse Logitech,Periféricos,2.0,233.9
294,2023-03-17,Roteador Wi-Fi,Rede,1.0,435.85
295,2023-06-28,Mousepad Gamer,Periféricos,2.0,627.4800564622744
296,2023-05-01,Fones Bluetooth,Áudio,1.0,111.28
297,2023-02-20,Pen Drive 64GB,Armazenamento,1.0,32.57
298,2023-05-27,Pen Drive 64GB,Armazenamento,1.0,66.74
299,2023-08-29,Carregador USB-C,Acessórios,1.0,30.95
300,2023-04-21,Roteador Wi-Fi,Rede,3.0,363.11
301,2023-02-09,Cabo HDMI,Acessórios,5.0,31.19
302,2023-01-15,Mouse Logitech,Periféricos,2.0,140.94
303,2023-10-29,Smartphone Samsung Galaxy,Celulares,3.0,1305.97
304,2023-10-11,Mousepad Gamer,Periféricos,1.0,117.46
305,2023-12-29,Mousepad Gamer,Periféricos,2.0,146.52
306,2023-09-26,Mouse Logitech,Periféricos,4.0,136.62
307,2023-10-04,Roteador Wi-Fi,Rede,5.0,456.74
308,2023-02-21,Fones Bluetooth,Áudio,2.0,165.06
309,2023-06-17,Webcam Full HD,Periféricos,1.0,346.63
